No.	분류	스킬명	난이도	유형	설명	획득 경로/필요 스킬
326	기본	[조명 화살]	하	액티브	하늘로 조명탄을 쏘아 주변을 밝힌다.	빛나는 물질과 화살을 조합하여 제작 성공
327	기본	[마법 화살]	하	액티브	마나를 실어 무속성 마법 피해를 주는 화살을 쏜다.	마법사 NPC에게 마력 주입을 의뢰하거나, 직접 마나를 주입 시도
328	기본	[곡사]	하	액티브	장애물 너머의 적을 포물선을 그리며 공격한다.	벽이나 언덕 너머의 적을 공격하려는 시도 반복
329	기본	[속사]	하	액티브	조준을 포기하는 대신 빠른 속도로 화살을 연사한다.	조준하지 않고 활을 쏘는 행동을 100회 이상 반복
330	기본	[장거리 사격]	하	패시브	최대 사거리가 증가한다.	최대 사거리에서 적을 100마리 이상 처치
331	기본	[궁술/암기 전문가]	중	패시브	해당 무기 장착 시 모든 관련 스킬 효과가 증가한다.	원거리 무기 계열 스킬 10개 이상 습득 및 숙련도 50% 이상
332	기본	[생사부]	최상	액티브	이름이 적힌 자는 반드시 죽는다는 저주받은 암기.	특정 히든 퀘스트를 통해 '염라'의 명부를 훔치는 데 성공
333	기본	[채찍술]	하	패시브/액티브	채찍을 다루는 기술.	채찍 무기 장착 후 100마리 이상 처치
334	기본	[사슬낫]	하	패시브/액티브	사슬낫으로 베거나 던져서 적을 끌어올 수 있다.	사슬낫 무기 장착 후 100마리 이상 처치
335	기본	[전투 낫]	하	패시브/액티브	거대한 낫을 휘둘러 넓은 범위를 공격한다.	전투 낫 무기 장착 후 100마리 이상 처치
336	기본	[쌍절곤]	하	패시브/액티브	쌍절곤을 다루는 현란한 기술.	쌍절곤 무기 장착 후 100마리 이상 처치
337	기본	[톤파]	하	패시브/액티브	톤파를 이용해 방어와 공격을 동시에 한다.	톤파 무기 장착 후 100마리 이상 처치
338	기본	[철선]	하	패시브/액티브	부채를 무기처럼 사용하여 공격하거나 바람을 일으킨다.	철선 무기 장착 후 100마리 이상 처치
339	기본	[마리오네트]	특수	액티브	실을 이용해 인형이나 시체를 조종한다.	저주받은 인형' 아이템을 획득하고 관련 퀘스트 완료
340	기본	[건블레이드]	중	패시브	검과 총이 합쳐진 무기를 다룬다.	건블레이드 무기 장착 후 100마리 이상 처치
341	기본	[갈고리 사슬]	하	액티브	갈고리를 던져 벽을 타거나 적을 끌어온다.	갈고리 사슬 아이템을 사용하여 벽을 100회 이상 오르거나 적을 끌어옴
342	기본	[차크람]	하	액티브	원형의 날을 던져 여러 적을 공격한다.	차크람 무기 장착 후 100마리 이상 처치
343	기본	[거울]	하	액티브	빛을 반사하여 적의 눈을 멀게 하거나 마법을 반사한다.	거울 아이템으로 빛을 반사하여 적의 눈을 100회 이상 멀게 함
344	기본	[우산]	하	패시브/액티브	특수 제작된 우산을 펼쳐 방어하거나, 끝으로 찌른다.	특수 우산 무기 장착 후 100마리 이상 처치
345	기본	[수정구]	하	액티브	수정구에 마력을 모아 광선을 발사한다.	마법사 직업으로 수정구를 장착하고 마력 집중
346	기본	[주사위]	하	액티브	주사위를 던져 나온 눈에 따라 무작위 효과가 발동된다.	행운의 주사위' 아이템을 100회 이상 사용
347	기본	[책]	하	액티브	책으로 적을 내려치거나, 페이지를 찢어 마법을 사용한다.	마도서를 장착하고 물리 공격을 100회 이상 시도
348	기본	[깃펜]	하	액티브	깃펜으로 허공에 룬을 그려 효과를 발동시킨다.	마법 잉크'를 소지한 채 깃펜으로 허공에 그리는 시도
349	기본	[향로]	하	액티브	특수한 향을 피워 주변에 이로운 효과나 해로운 효과를 퍼뜨린다.	향로와 특수 향 아이템을 조합하여 사용
350	기본	[금강저]	중	패시브	악을 파괴하는 불교의 법구. 악마와 언데드에게 추가 피해.	금강저 무기 장착 후 악마/언데드를 100마리 이상 처치
351	기본	[월아산]	중	패시브	양쪽에 초승달 모양의 날이 달린 무기.	월아산 무기 장착 후 100마리 이상 처치
352	기본	[편곤]	하	패시브	긴 막대와 짧은 막대를 쇠사슬로 이은 무기.	편곤 무기 장착 후 100마리 이상 처치
353	기본	[낭아봉]	하	패시브	늑대의 이빨처럼 징이 박힌 곤봉.	낭아봉 무기 장착 후 100마리 이상 처치
354	기본	[수갑]	하	액티브	수갑으로 적을 제압하거나 무기로 사용한다.	수갑 아이템으로 도망가는 적을 20회 이상 포획
355	기본	[호신강철]	중	패시브	몸에 두르는 철사. 방어하거나 적을 옭아맬 수 있다.	호신강철 무기 장착 후 100마리 이상 처치
356	기본	[철산고(장비)]	중	패시브	어깨나 등으로 적에게 부딪히는 기술과 연계되는 특수 갑옷.	특수 갑옷을 입고 어깨빵으로 적을 50회 이상 공격
357	기본	[혈적자]	상	액티브	회전하는 톱니바퀴를 날려 적의 머리를 노리는 잔혹한 무기.	혈적자 무기 장착 후 인간형 몬스터를 100마리 이상 처치
358	기본	[악기 연주]	하	액티브	악기로 음공(音功)을 펼쳐 적을 공격하거나 아군을 지원한다.	악기 아이템을 장착하고 연주를 100회 이상 시도
359	기본	[바둑]	하	액티브	바둑돌을 놓아 진을 형성하거나, 바둑알을 암기로 사용한다.	바둑판 아이템을 설치하고 바둑돌을 놓는 행동 반복
360	기본	[서예]	하	액티브	붓으로 허공에 글자를 써서 그 의미에 맞는 효과를 발동시킨다.	붓과 먹 아이템을 소지한 채 허공에 글씨를 쓰는 시도
361	기본	[그림]	하	액티브	그림을 그려 환영을 만들거나, 그림 속의 존재를 잠시 소환한다.	붓과 물감 아이템으로 그림을 그리는 행동 반복
362	기본	[요리도구]	하	패시브	국자, 뒤집개, 중식도 등을 무기로 사용한다.	요리도구를 무기로 장착하고 100마리 이상 처치
363	기본	[방패술]	하	패시브/액티브	방패를 다루는 기본.	방패를 장착하고 100회 이상 방어 성공
364	기본	[완벽한 방어]	중	액티브	정확한 타이밍에 방어 성공 시, 피해를 완전히 무효화하고 적을 휘청이게 한다.	적의 공격이 닿기 직전에 방어하는 행동(패링) 50회 성공
365	기본	[타워 실드 숙련]	하	패시브	대형 방패 사용 시 이동 속도 감소 페널티가 줄어든다.	타워 실드를 장착하고 10시간 이상 누적 플레이
366	기본	[카이트 실드 숙련]	하	패시브	중형 방패 사용 시 방어 후 다음 동작이 빨라진다.	카이트 실드를 장착하고 10시간 이상 누적 플레이
367	기본	[버클러 숙련]	하	패시브	소형 방패로 적의 공격을 쳐낼 때(패링) 성공률이 높아진다.	버클러를 장착하고 100회 이상 패링 성공
368	기본	[방패 돌격]	하	액티브	방패를 앞세워 적진을 돌파한다.	방패를 들고 달리면서 적에게 부딪히는 행동 반복
369	기본	[수호자의 영역]	상	액티브	주변 아군이 받는 피해를 일부 대신 받는다.	체력이 낮은 아군에게 날아가는 공격을 50회 이상 대신 맞아줌
370	기본	[방패 던지기]	중	액티브	방패를 던져 여러 적을 맞추고 돌아오게 한다.	방패를 원거리의 적에게 100회 이상 던짐
371	기본	[반사]	상	액티브	마법 공격을 방패로 막아냈을 때, 그 마법을 반사할 확률이 생긴다.	방패로 마법 투사체를 100회 이상 막아냄
372	기본	[철벽]	하	액티브	땅에 방패를 박고 움직일 수 없는 방어벽이 된다.	방패를 든 채로 움직이지 않고 10분 이상 방어 자세 유지
373	기본	[위압]	하	패시브	방패를 들고 버티는 것만으로도 적에게 위압감을 주어 공격력을 낮춘다.	방패를 들고 자신보다 약한 적 10마리 이상에게 둘러싸인 채로 버티기
374	기본	[성채]	중	액티브	파티원들이 자신의 등 뒤에 숨어 원거리 공격을 피할 수 있게 한다.	자신의 등 뒤에 있는 아군을 원거리 공격으로부터 50회 이상 보호
375	기본	[최후의 보루]	중	패시브	체력이 1 남았을 때, 잠시 동안 방어력이 극대화된다.	체력이 5% 이하인 상태에서 10회 이상 생존
376	기본	[진형 붕괴]	중	액티브	적진 한가운데로 뛰어들어 방패로 진형을 무너뜨린다.	방패 돌격으로 한 번에 5마리 이상의 적을 밀쳐냄
377	기본	[인내]	하	패시브	방어 시 소모되는 스태미나가 감소한다.	스태미나가 0이 될 때까지 방어 자세를 유지하는 행동 반복
378	기본	[구원]	중	액티브	위험에 처한 아군에게 빠르게 달려가 공격을 대신 막아준다.	기절 또는 속박 상태인 아군을 20회 이상 보호
379	기본	[가시 방패]	하	패시브	방패에 가시를 달아 방어 성공 시 적에게 피해를 준다.	가시 방패를 장착하고 100회 이상 방어 성공
380	기본	[마력 방패]	하	액티브	마력을 주입하여 방패의 내구도를 일시적으로 회복시킨다.	내구도가 10% 이하인 방패에 마나를 주입하는 시도
381	기본	[이ージス]	최상	액티브	모든 공격을 막아내는 신의 방패를 잠시 소환한다.	신의 시련 퀘스트에서 신의 공격을 모두 막아내는 데 성공
382	기본	[방패 밀치기]	하	액티브	방패로 적을 밀쳐내 거리를 벌린다.	근접한 적을 방패로 밀어내는 행동 반복
383	기본	[방패 강타]	하	액티브	방패 모서리로 적을 가격하여 피해를 준다.	방패로 적을 100회 이상 공격
384	기본	[견고한 방어]	하	액티브	방어 자세를 취해 방어력을 극대화한다. 이동은 불가능하다.	방어 자세로 1분 이상 피해를 계속해서 받아내기
385	기본	[도발의 외침]	하	액티브	방패를 두드리며 소리를 내어 주변 적의 주의를 끈다.	방패로 무기를 두드리는 행동 반복
386	기본	[방패 전문가]	중	패시브	방패 장착 시 모든 관련 스킬 효과가 증가한다.	방패 계열 스킬 10개 이상 습득 및 숙련도 50% 이상
387	기본	[방패 합격술]	하	액티브	다른 방패병과 함께 진형을 짜서 방어 효과를 극대화한다.	다른 방패 사용자 옆에 붙어서 함께 방어 자세 취하기
388	기본	[웨폰 마스터리]	중	패시브	모든 무기의 기본을 이해한다.	10종류 이상의 다른 무기로 각각 100마리 이상의 적을 처치
389	기본	[무기 교체술]	하	패시브	전투 중 무기를 빠르게 교체할 수 있다.	전투 중에 무기를 100회 이상 교체
390	기본	[임기응변]	하	패시브	주변의 사물(돌, 나뭇가지 등)을 즉석 무기로 활용한다.	무기 없이 주변 사물을 이용하여 50마리 이상의 적을 처치
391	기본	[이종 무술]	중	패시브	서로 다른 종류의 무기를 양손에 들고 싸운다.	검과 도끼, 단검과 권총 등 다른 종류의 무기를 양손에 들고 100마리 이상 처치
392	기본	[투척 전문가]	중	패시브	던질 수 있는 모든 무기의 사거리와 데미지가 증가한다.	5종류 이상의 다른 무기를 던져서 적을 처치
393	기본	[무기 파괴]	하	액티브	적의 무기를 공격하여 내구도를 깎는다.	적의 무기를 집중적으로 공격하여 10개 이상 파괴
394	기본	[심안(무기)]	중	패시브	상대가 든 무기의 약점을 간파한다.	같은 무기를 든 적과 50회 이상 전투
395	기본	[무기와의 동화]	상	액티브	주력 무기와 동화되어 그 잠재능력을 최대로 끌어낸다.	한 가지 무기만으로 100시간 이상 누적 플레이
396	기본	[백병전의 달인]	중	패시브	난전 속에서 아군과 적을 정확히 구분하여 공격한다.	아군과 적이 섞인 난전에서 아군을 한 번도 공격하지 않고 승리
397	기본	[장비 숙련]	하	패시브	모든 무기와 방어구의 요구 스탯이 감소한다.	자신의 레벨보다 높은 장비를 계속해서 착용 시도
398	기본	[숫돌질]	하	액티브	전투 전 숫돌로 무기를 갈아, 다음 전투에서 공격력을 일시적으로 상승시킨다.	숫돌 아이템을 사용하여 무기 내구도를 100회 이상 회복
399	기본	[기름칠]	하	액티브	무기에 기름을 발라 공격 속도를 높이거나, 불을 붙일 수 있게 한다.	기름병 아이템을 무기에 100회 이상 사용
400	기본	[룬 각인]	중	액티브	무기에 룬을 새겨 특수한 효과를 부여한다.	룬 조각과 무기를 조합하여 인챈트 시도
401	기본	[마력 주입]	하	액티브	무기에 마나를 주입하여 일시적으로 마법 무기로 만든다.	마나가 깃든 아이템을 무기와 조합하거나, 직접 마나를 주입 시도
402	기본	[독 부여]	하	액티브	무기에 독을 발라 사용한다.	독 물약이나 독초를 무기에 사용하는 행동 반복
403	기본	[성수 부여]	하	액티브	무기에 성수를 발라 언데드와 악마에게 추가 피해를 준다.	성수 아이템을 무기에 사용하는 행동 반복
404	기본	[무기 던지기]	하	액티브	현재 들고 있는 무기를 강력하게 던진다.	근접 무기를 원거리의 적에게 100회 이상 던져서 공격
405	기본	[무기 회수]	하	액티브	던진 무기를 되찾아온다.	던진 무기를 다시 주워오는 행동을 100회 이상 반복
406	기본	[폼 체인지]	특수	액티브	변형 가능한 특수 무기의 형태를 바꾼다.	변형 기능이 있는 무기를 장착하고 형태를 100회 이상 변경
407	기본	[무기의 기억]	특수	액티브	전설적인 무기에 깃든 기억을 읽어 그 주인의 기술을 엿본다.	전설 등급 이상의 무기를 장착하고 특정 장소 방문 시 낮은 확률로 이벤트 발생
408	기본	[블러드러스트]	중	패시브	피를 볼수록 강해지는 전투 갈망.	출혈 상태의 적을 100마리 이상 처치
409	기본	[전투의 함성]	하	액티브	함성을 질러 자신의 공격력과 아군의 사기를 높인다.	전투 시작 시 포효 스킬을 100회 이상 사용
410	기본	[마지막 저항]	중	액티브	죽기 직전, 마지막 힘을 짜내 강력한 일격을 날린다.	체력이 1% 남은 상태에서 스킬을 사용하여 적을 처치
411	기본	[전장의 안개]	중	패시브	전투에 너무 집중한 나머지, 고통을 잊게 된다.	디버프에 걸린 상태로 전투에서 20회 이상 승리
412	기본	[만병지왕]	최상	패시브	모든 무기를 극의까지 다룬 자에게 주어지는 칭호이자 스킬.	모든 무기 계열의 전문가 스킬을 습득
413	기본	[달리기]	하	패시브	더 빠르게 뛸 수 있다.	총 1시간 이상 달리기 누적
414	기본	[회피]	하	액티브	적의 공격을 몸을 날려 피한다.	적의 공격을 100회 이상 회피
415	기본	[점프]	하	액티브	더 높이 뛸 수 있다.	점프를 1000회 이상 반복
416	기본	[수영]	하	패시브	물 속에서 헤엄칠 수 있다.	물 속에서 10분 이상 누적 이동
417	기본	[잠수]	하	패시브	물 속에서 숨을 참고 더 깊이 들어갈 수 있다.	물 속에서 숨 참기 게이지가 다 닳기 직전까지 가는 행동 반복
418	기본	[암벽 타기]	하	패시브	가파른 벽이나 절벽을 오를 수 있다.	오를 수 있는 벽에 100회 이상 매달리기 시도
419	기본	[나무 타기]	하	패시브	나무를 능숙하게 오를 수 있다.	나무를 100회 이상 오르려는 시도
420	기본	[밧줄 타기]	하	패시브	밧줄이나 덩굴을 타고 오르내릴 수 있다.	밧줄이나 덩굴을 100회 이상 이용
421	기본	[낙법]	하	패시브	높은 곳에서 떨어질 때 피해를 줄인다.	높은 곳에서 50회 이상 떨어져서 피해를 입음
422	기본	[긴급 회피]	하	패시브	넘어지려는 순간 몸의 균형을 잡아 회피한다.	적에게 맞아 넘어지는 순간 회피 키를 입력하는 행동 반복
423	기본	[오래달리기]	하	패시브	달릴 때 스태미나 소모량이 감소한다.	스태미나가 0이 될 때까지 달리는 행동을 50회 이상 반복
424	기본	[짐 나르기]	하	패시브	무거운 물건을 들었을 때 이동 속도 감소가 완화된다.	소지 무게가 80% 이상인 상태로 1시간 이상 누적 이동
425	기본	[위장]	하	액티브	주변 환경과 비슷한 색의 진흙이나 풀을 몸에 발라 위장한다.	진흙이나 수풀 속에서 은신을 100회 이상 시도
426	기본	[흔적 지우기]	하	액티브	자신이 지나온 발자국이나 흔적을 지워 추적을 피한다.	눈이나 모래밭에 남은 자신의 발자국 위에서 특정 행동 시도
427	기본	[길 찾기]	하	패시브	미궁에서 길을 잃을 확률이 감소한다.	미로 형태의 맵을 10개 이상 클리어
428	기본	[주위 경계]	하	패시브	주변의 위험 요소를 감지할 확률이 소폭 증가한다.	함정에 10회 이상 걸리거나, 기습을 20회 이상 당했을 때
429	기본	[함정 발견]	하	패시브	바닥의 함정이나 부비트랩을 발견할 확률이 생긴다.	함정 근처에서 앉아서 이동하는 행동 반복
430	기본	[보물 감지]	하	패시브	숨겨진 보물상자의 위치를 어렴풋이 느낄 수 있다.	숨겨진 보물상자를 10개 이상 발견
431	기본	[적의 감지]	하	패시브	근처에 있는 적의 기척을 느낄 수 있다.	은신한 적에게 10회 이상 기습당했을 때
432	기본	[발자국 추적]	하	패시브	땅에 남은 몬스터나 동물의 발자국을 추적할 수 있다.	몬스터의 발자국을 100회 이상 조사
433	기본	[소리굽쇠]	하	액티브	벽에 귀를 대고 반대편의 소리를 들을 수 있다.	문에 귀를 대는 상호작용을 반복
434	기본	[야간 시야]	하	패시브	어두운 곳에서 시야가 소폭 향상된다.	횃불이나 조명 마법 없이 어두운 곳에서 1시간 이상 누적 플레이
435	기본	[독 감별]	하	패시브	음식이나 물에 독이 들어있는지 감별할 수 있다.	독이 든 음식을 5회 이상 먹고 중독
436	기본	[거짓말 간파]	하	패시브	NPC와의 대화에서 거짓말을 간파할 확률이 생긴다.	NPC에게 10회 이상 속아서 불리한 결과를 맞이했을 때
437	기본	[언어 이해]	하	패시브	고블린이나 오크 등 하위 몬스터의 단순한 언어를 일부 이해한다.	같은 종류의 몬스터 캠프 근처에서 엿듣는 행동 반복
438	기본	[기척 감지]	하	패시브	등 뒤에서 접근하는 적을 감지할 확률이 생긴다.	등 뒤에서 20회 이상 기습 공격을 당했을 때
439	기본	[날씨 예측]	하	패시브	미궁 내 특정 지역의 환경 변화(비, 안개 등)를 예측한다.	다양한 날씨 환경에서 10시간 이상 누적 플레이
440	기본	[약점 간파]	하	패시브	적과 오래 싸울수록 해당 적의 약점을 파악할 확률이 생긴다.	같은 종류의 보스 몬스터에게 5회 이상 도전
441	기본	[유인]	하	액티브	돌멩이를 던져 소리를 내 적의 주의를 다른 곳으로 돌린다.	돌멩이를 던져 적의 시선을 끄는 행동 50회 성공
442	기본	[집중]	하	액티브	잠시 동안 주변 소음을 차단하고 목표에 집중한다.	저격이나 채집 등 집중이 필요한 행동을 100회 이상 수행
443	기본	[근력 단련]	하	패시브	힘 스탯이 소폭 상승한다.	힘 스탯을 사용하는 행동(무거운 무기 휘두르기 등)을 반복
444	기본	[민첩 단련]	하	패시브	민첩 스탯이 소폭 상승한다.	민첩 스탯을 사용하는 행동(회피, 빠른 무기 휘두르기 등)을 반복
445	기본	[체력 단련]	하	패시브	최대 체력이 소폭 상승한다.	최대 체력의 80% 이상 피해를 입고 생존하는 경험 반복
446	기본	[정신 수양]	하	패시브	지능 스탯이 소폭 상승한다.	마법 사용, 책 읽기 등 지능 스탯을 사용하는 행동 반복
447	기본	[맷집]	하	패시브	받는 물리 피해가 소폭 감소한다.	물리 공격을 1000회 이상 피격
448	기본	[저항력]	하	패시브	독, 마비 등 상태이상에 걸릴 확률이 소폭 감소한다.	상태이상에 100회 이상 걸림
449	기본	[평정심 유지]	하	패시브	공포나 혼란 상태에서 더 빨리 벗어난다.	정신계 상태이상에 20회 이상 걸리고 스스로 극복
450	기본	[허기 내성]	하	패시브	배고픔 상태가 되어도 능력치 감소가 완화된다.	허기 게이지가 0인 상태로 1시간 이상 누적 플레이
451	기본	[추위 내성]	하	패시브	추운 지역에서 입는 지속 피해가 감소한다.	추위 디버프를 받는 지역에서 1시간 이상 누적 플레이
452	기본	[더위 내성]	하	패시브	더운 지역에서 입는 지속 피해가 감소한다.	더위 디버프를 받는 지역에서 1시간 이상 누적 플레이
453	기본	[명상]	하	액티브	휴식 시 체력과 마나 회복 속도가 빨라진다.	안전한 장소에서 휴식(명령어)을 100회 이상 사용
454	기본	[호흡법]	하	패시브	스태미나 회복 속도가 빨라진다.	스태미나를 모두 소진하는 행동을 100회 이상 반복
455	기본	[반사신경]	하	패시브	날아오는 함정이나 공격에 자동으로 반응할 확률이 생긴다.	날아오는 화살이나 함정을 타이밍에 맞춰 피하는 행동 반복
456	기본	[균형 감각]	하	패시브	좁은 길이나 미끄러운 바닥에서 넘어지지 않는다.	좁은 다리나 미끄러운 얼음 위에서 10분 이상 누적 이동
457	기본	[악력]	하	패시브	무기를 놓치거나 적에게 무기를 빼앗길 확률이 감소한다.	무장 해제 공격을 10회 이상 당했을 때
458	기본	[도발]	하	액티브	적을 자극하여 자신을 공격하게 만든다.	특정 감정 표현(도발)을 적 앞에서 100회 이상 사용
459	기본	[위협]	하	액티브	자신보다 약한 적을 위협하여 도망치게 만들 수 있다.	자신보다 10레벨 이상 낮은 적을 상대로 위협적인 행동 반복
460	기본	[격려]	하	액티브	주변 아군의 사기를 높여 공격력을 잠시 상승시킨다.	파티원이 위험에 처했을 때 긍정적인 감정 표현 사용
461	기본	[신호]	하	액티브	손짓이나 소리로 아군에게 간단한 명령을 전달한다.	파티 플레이 중 특정 신호(핑 찍기 등)를 100회 이상 사용
462	기본	[붕대 감기]	하	액티브	전투 중 자신이나 아군에게 붕대를 감아 출혈을 멈춘다.	붕대 아이템을 100회 이상 사용
463	기본	[물품 전달]	하	액티브	전투 중 아군에게 아이템을 빠르게 던져준다.	파티원에게 아이템을 건네주는 행동을 50회 이상 반복
464	기본	[경계 태세]	하	액티브	방어에 집중하여 회피율과 방어력을 잠시 높인다.	적의 공격이 예상될 때 방어 자세를 취하는 행동 반복
465	기본	[물러서기]	하	액티브	적의 공격을 피하며 뒤로 빠르게 물러선다.	뒤로 이동하며 회피하는 행동(백스텝)을 100회 이상 사용
466	기본	[자세 고쳐잡기]	하	패시브	넘어진 상태에서 빠르게 일어난다.	넘어진 상태에서 기상 키를 빠르게 입력하는 행동 반복
467	기본	[아이템 식별]	하	패시브	포션이나 두루마리 등 소모성 아이템의 종류를 식별한다.	미확인 물약이나 두루마리를 50개 이상 사용
468	기본	[은신]	하	액티브	적의 시야를 피해 몸을 숨긴다.	수풀이나 상자 뒤에 숨는 행동 반복
469	기본	[소리 죽여 걷기]	하	패시브	이동 시 발소리가 감소한다.	앉아서 이동하는 행동을 1시간 이상 누적
470	기본	[죽은 척하기]	하	액티브	위급할 때 죽은 척하여 적의 인식을 피한다.	특정 감정 표현(죽은 척)을 사용하여 적의 인식을 피하는 데 성공
471	기본	[훔치기]	하	액티브	대상의 소지품을 몰래 훔친다.	NPC나 몬스터의 등 뒤에서 훔치기 시도
472	기본	[자물쇠 따기]	하	액티브	간단한 자물쇠를 도구로 열 수 있다.	자물쇠 따개 아이템으로 잠긴 상자를 50회 이상 열기 시도
473	기본	[변장]	하	액티브	적대적이지 않은 세력의 옷을 입고 잠입을 시도한다.	특정 세력의 의복을 입고 해당 세력의 거점에 잠입
474	기본	[허수아비 세우기]	하	액티브	자신의 옷가지를 이용해 허수아비를 만들어 적의 시선을 끈다.	허수아비 키트 아이템을 사용하여 50회 이상 설치
475	기본	[그림자 이동]	하	패시브	어두운 그림자 속에서 이동할 때 발각될 확률이 감소한다.	그림자가 진 곳에서만 은신 상태로 1시간 이상 누적 이동
476	기본	[기만]	하	패시브	NPC를 상대로 거짓말을 하여 정보를 얻거나 위기를 모면한다.	NPC와의 대화에서 거짓말 선택지를 50회 이상 선택
477	기본	[속임수]	하	액티브	전투 중 흙을 뿌리는 등 비겁한 수로 적의 시야를 잠시 가린다.	흙이나 모래 아이템을 적의 얼굴에 던지는 행동 반복
478	기본	[포박]	하	액티브	밧줄로 적을 묶어 무력화시킨다.	밧줄 아이템으로 적을 묶는 데 20회 이상 성공
479	기본	[재갈 물리기]	하	액티브	포박한 적이 소리를 지르지 못하게 한다.	포박된 적에게 천 조각 아이템 사용
480	기본	[심문]	하	액티브	포박한 적에게서 정보를 얻어낸다.	포박된 적에게 대화를 10회 이상 시도
481	기본	[미행]	하	패시브	대상에게 들키지 않고 뒤를 밟는다.	NPC의 뒤를 들키지 않고 10분 이상 따라다니기
482	기본	[함정 설치]	하	액티브	간단한 덫이나 올가미를 설치한다.	덫 아이템을 100회 이상 설치
483	기본	[동물 흉내]	하	액티브	동물의 울음소리를 흉내 내어 적을 유인하거나 방심시킨다.	동물형 몬스터 앞에서 특정 감정 표현 사용
484	기본	[사라지기]	하	액티브	연막탄을 터뜨려 적의 시야를 가리고 도망친다.	연막탄 아이템을 50회 이상 사용
485	기본	[발목 후리기]	하	액티브	낮은 자세로 적의 발목을 걸어 넘어뜨린다.	발차기 스킬로 적의 다리 부분을 100회 이상 공격
486	기본	[동전 던지기]	하	액티브	동전을 던져 소리를 내 경비병의 주의를 돌린다.	경비병 근처에 동전을 던져 시선을 끄는 데 성공
487	기본	[손재주]	하	패시브	아이템을 떨어뜨리지 않거나, 빠르게 주울 수 있다.	떨어진 아이템을 1000개 이상 줍기
488	기본	[심법]	하	패시브	내공을 운용하는 기초적인 호흡법.	무림인 NPC에게 입문 퀘스트 완료
489	기본	[토납법]	하	패시브	자연의 기운을 들이마시고 탁한 기운을 뱉어내는 호흡법.	공기 좋은 장소(숲, 산 정상)에서 명상 반복
490	기본	[운기조식]	하	액티브	내공을 전신에 돌려 부상을 치료하고 컨디션을 조절한다.	디버프에 걸린 상태에서 명상 시도
491	기본	[철사장]	중	패시브	뜨거운 모래나 쇠구슬에 손을 단련하여 단단하게 만드는 외공.	맨손으로 단단한 오브젝트(바위, 나무)를 1000회 이상 공격
492	기본	[금종조]	중	패시브	몸을 금종처럼 단단하게 만들어 외부 충격을 막는 호신강기.	방어 자세 없이 맨몸으로 둔기 공격을 100회 이상 받아냄
493	기본	[철포삼]	중	패시브	살갗을 무쇠처럼 단련하는 외공.	방어구 없이 칼이나 창 공격을 100회 이상 받아냄
494	기본	[경공]	하	패시브	몸을 가볍게 하여 빠르게 달리거나 높이 뛰는 기술의 총칭.	민첩 스탯이 일정 수치 이상일 때 점프와 달리기를 반복
495	기본	[초상비]	중	패시브	풀잎 위를 밟고 날아갈 정도로 몸을 가볍게 하는 경공.	풀이 많은 지역에서 경공을 사용하여 1시간 이상 누적 이동
496	기본	[수상비]	중	패시브	수면 위를 달리는 경공.	수면 위를 경공으로 건너려는 시도 반복
497	기본	[축지법]	상	패시브	땅을 접듯이 먼 거리를 빠르게 이동하는 보법.	경공 스킬 숙련도가 높은 상태에서 장거리를 계속해서 달림
498	기본	[능공허도]	최상	패시브	허공을 밟고 나아가는 최상위 경공.	매우 높은 곳에서 떨어지면서 경공으로 착지하려는 시도
499	기본	[점혈]	중	액티브	인체의 혈도를 짚어 마비시키거나 내공의 흐름을 막는다.	맨손 격투로 인간형 적의 급소를 50회 이상 공격
500	기본	[해혈]	중	액티브	막힌 혈도를 풀어준다.	점혈에 당한 아군에게 상호작용하여 풀어주려는 시도
501	기본	[변골]	상	액티브	뼈의 형태를 일시적으로 바꾸어 좁은 곳을 통과하거나 변장한다.	몸이 끼는 좁은 틈을 억지로 통과하려는 시도를 반복
502	기본	[축골공]	상	패시브	몸을 줄이는 기공.	[변골] 스킬 숙련도 100% 달성
503	기본	[사자후]	중	액티브	내공을 실은 포효로 적에게 정신적, 물리적 피해를 준다.	포효 스킬 사용 시 내공(마나)을 함께 소모하는 시도
504	기본	[전음입밀]	중	액티브	내공으로 소리를 묶어 특정인에게만 들리도록 전달한다.	멀리 있는 파티원에게 귓속말을 100회 이상 시도
505	기본	[독공]	중	패시브	독을 다루거나 스스로 독에 대한 내성을 기르는 무공.	독에 100회 이상 중독되고 살아남음
506	기본	[빙공]	중	패시브	몸에 한기를 축적하여 사용하는 무공.	추운 지역에서 방어구 없이 1시간 이상 누적 생존
507	기본	[화공]	중	패시브	몸에 열기를 축적하여 사용하는 무공.	더운 지역에서 방어구 없이 1시간 이상 누적 생존
508	기본	[흡공]	상	액티브	상대의 내공이나 생명력을 흡수하려는 시도.	생명력 흡수 옵션이 있는 무기로 1000마리 이상 처치
509	기본	[반탄]	상	패시브	상대의 공격을 튕겨내는 호신강기.	완벽한 방어(패링)를 100회 이상 성공
510	기본	[기감]	하	패시브	주변의 기척이나 위험을 민감하게 감지하는 능력.	기습 공격을 50회 이상 당함
511	기본	[심안]	상	패시브	눈을 감고도 상대의 움직임을 마음으로 읽는다.	실명 상태에서 전투를 20회 이상 승리
512	기본	[투시]	상	액티브	얇은 벽이나 상자 너머를 꿰뚫어 본다.	비밀 벽이나 숨겨진 통로를 50개 이상 발견
